country,year,Population,GDP
Denmark,1964,4722072,"9,506,678,763 "
Denmark,1963,4684483,"8,316,692,386 "
Denmark,1962,4647727,"7,812,968,114 "
Denmark,1961,4611687,"6,933,842,099 "
Denmark,1960,4579603,"6,248,946,880 "
Djibouti,2014,876174,"1,589,025,860 "
Djibouti,2013,864554,"1,455,416,074 "
Djibouti,2012,853069,"1,353,632,942 "
Djibouti,2011,841802,"1,239,144,502 "
Djibouti,2010,830802,"1,128,611,700 "
Djibouti,2009,820097,"1,049,110,685 "
Djibouti,2008,809639,"999,105,339 "
Djibouti,2007,799309,"847,918,929 "
Djibouti,2006,788941,"768,873,684 "
Djibouti,2005,778406,"708,633,195 "
Djibouti,2004,767644,"666,072,102 "
Djibouti,2003,756656,"622,044,666 "
Djibouti,2002,745459,"591,122,040 "
Djibouti,2001,734088,"572,417,441 "
Djibouti,2000,722562,"551,230,862 "
Djibouti,1999,710652,"536,080,148 "
Djibouti,1998,698256,"514,267,869 "
Djibouti,1997,685644,"502,675,542 "
Djibouti,1996,673202,"494,004,648 "
Djibouti,1995,661076,"497,723,961 "
Djibouti,1994,649878,"491,689,221 "
Djibouti,1993,639215,"466,048,469 "
Djibouti,1992,627063,"478,058,305 "
Djibouti,1991,610679,"462,421,999 "
Djibouti,1990,588356,"452,328,105 "
Djibouti,1989,558810,"409,220,103 "
Djibouti,1988,523266,"395,794,554 "
Djibouti,1987,485565,"373,371,753 "
Djibouti,1985,423470,"340,989,541 "
Dominica,2015,72680,"537,777,778 "
Dominica,2014,72341,"524,605,000 "
Dominica,2013,72005,"506,666,667 "
Dominica,2012,71685,"485,185,185 "
Dominica,2011,71402,"501,481,481 "
Dominica,2010,71167,"493,703,704 "
Dominica,2009,70995,"489,259,259 "
Dominica,2008,70881,"458,148,148 "
Dominica,2007,70795,"421,481,481 "
Dominica,2006,70690,"390,370,370 "
Dominica,2005,70542,"370,370,370 "
Dominica,2004,70325,"374,771,475 "
Dominica,2003,70058,"350,091,216 "
Dominica,2002,69806,"337,695,735 "
Dominica,2001,69660,"343,119,364 "
Dominica,2000,69679,"335,845,809 "
Dominica,1999,69902,"267,740,736 "
Dominica,1998,70295,"258,440,736 "
Dominica,1997,70756,"245,781,477 "
Dominica,1996,71146,"236,444,440 "
Dominica,1995,71367,"224,037,033 "
Dominica,1994,71372,"215,459,255 "
Dominica,1993,71205,"200,418,515 "
Dominica,1992,70978,"191,759,256 "
Dominica,1991,70849,"180,437,034 "
Dominica,1990,70928,"166,322,219 "
Dominica,1989,71242,"153,374,071 "
Dominica,1988,71743,"143,766,664 "
Dominica,1987,72368,"126,348,146 "
Dominica,1986,73025,"112,074,072 "
Dominica,1985,73640,"98,585,183 "
Dominica,1984,74215,"89,848,147 "
Dominica,1983,74750,"79,925,925 "
Dominica,1982,75168,"72,051,851 "
Dominica,1981,75376,"66,218,517 "
Dominica,1980,75313,"59,099,999 "
Dominica,1979,74923,"44,296,296 "
Dominica,1978,74239,"45,170,370 "
Dominica,1977,73411,"36,370,370 "
Dominican Republic,2015,10528391,"67,103,263,863 "
Dominican Republic,2014,10405943,"63,968,906,782 "
Dominican Republic,2013,10281408,"61,198,323,069 "
Dominican Republic,2012,10155036,"60,595,109,805 "
Dominican Republic,2011,10027140,"58,361,928,552 "
Dominican Republic,2010,9897983,"53,864,484,468 "
Dominican Republic,2009,9767737,"48,193,458,083 "
Dominican Republic,2008,9636491,"48,152,993,004 "
Dominican Republic,2007,9504336,"44,073,886,687 "
Dominican Republic,2006,9371333,"35,952,890,849 "
Dominican Republic,2005,9237565,"34,004,081,037 "
Dominican Republic,2004,9102997,"22,039,210,346 "
Dominican Republic,2003,8967759,"21,277,171,990 "
Dominican Republic,2002,8832286,"26,571,659,051 "
Dominican Republic,2001,8697127,"24,892,595,799 "
Dominican Republic,2000,8562623,"23,996,100,575 "
Dominican Republic,1999,8429116,"21,709,726,722 "
Dominican Republic,1998,8296375,"21,171,583,983 "
Dominican Republic,1997,8163474,"19,593,916,229 "
Dominican Republic,1996,8029114,"18,131,813,001 "
Dominican Republic,1995,7892420,"16,358,496,124 "
Dominican Republic,1994,7753052,"14,511,134,921 "
Dominican Republic,1993,7611463,"12,976,408,000 "
Dominican Republic,1992,7468551,"11,277,676,880 "
Dominican Republic,1991,7325622,"9,724,402,004 "
Dominican Republic,1990,7183646,"7,073,674,721 "
Dominican Republic,1989,7042940,"6,686,592,729 "
Dominican Republic,1988,6903314,"5,374,300,243 "
Dominican Republic,1987,6764623,"5,827,050,857 "
Dominican Republic,1986,6626544,"6,122,128,248 "
Dominican Republic,1985,6488857,"5,044,579,947 "
Dominican Republic,1984,6351572,"10,330,399,700 "
Dominican Republic,1983,6214857,"8,622,000,100 "
Dominican Republic,1982,6078816,"7,964,000,300 "
Dominican Republic,1981,5943591,"7,266,999,800 "
Dominican Republic,1980,5809271,"6,631,000,100 "
Dominican Republic,1979,5675930,"5,498,800,100 "
Dominican Republic,1978,5543520,"4,774,400,000 "
Dominican Republic,1977,5411867,"4,587,100,200 "
Dominican Republic,1976,5280727,"3,951,399,900 "
Dominican Republic,1975,5149934,"3,599,300,100 "
Dominican Republic,1974,5019471,"2,925,600,000 "
Dominican Republic,1973,4889437,"2,344,699,900 "
Dominican Republic,1972,4759935,"1,987,300,000 "
Dominican Republic,1971,4631114,"1,666,400,000 "
Dominican Republic,1970,4503114,"1,485,400,100 "
Dominican Republic,1969,4376056,"1,230,500,000 "
Dominican Republic,1968,4250026,"1,079,100,000 "
Dominican Republic,1967,4125107,"1,034,800,000 "
Dominican Republic,1966,4001377,"983,900,000 "
Dominican Republic,1965,3878952,"888,100,000 "
Dominican Republic,1964,3757962,"1,025,599,900 "
Dominican Republic,1963,3638628,"940,799,900 "
Dominican Republic,1962,3521276,"824,100,000 "
Dominican Republic,1961,3406299,"654,100,200 "
Dominican Republic,1960,3294039,"672,399,700 "
Ecuador,2015,16144363,"100,871,770,000 "
Ecuador,2014,15902916,"100,917,372,000 "
Ecuador,2013,15661312,"94,776,170,000 "
Ecuador,2012,15419493,"87,924,544,000 "
Ecuador,2011,15177280,"79,276,664,000 "
Ecuador,2010,14934692,"69,555,367,000 "
Ecuador,2009,14691310,"62,519,686,000 "
Ecuador,2008,14447600,"61,762,635,000 "
Ecuador,2007,14205479,"51,007,777,000 "
Ecuador,2006,13967490,"46,802,044,000 "
Ecuador,2005,13735232,"41,507,085,000 "
Ecuador,2004,13509645,"36,591,661,000 "
Ecuador,2003,13289600,"32,432,859,000 "
Ecuador,2002,13072056,"28,548,945,000 "
Ecuador,2001,12852753,"24,468,324,000 "
Ecuador,2000,12628596,"18,327,764,882 "
Ecuador,1999,12398691,"19,645,272,636 "
Ecuador,1998,12163887,"27,981,896,948 "
Ecuador,1997,11924991,"28,162,053,027 "
Ecuador,1996,11683480,"25,226,393,197 "
Ecuador,1995,11440576,"24,432,884,442 "
Ecuador,1994,11196476,"22,708,673,337 "
Ecuador,1993,10951200,"18,938,717,359 "
Ecuador,1992,10705670,"18,094,238,119 "
Ecuador,1991,10460988,"16,988,535,268 "
Ecuador,1990,10218085,"15,239,278,100 "
Ecuador,1989,9977380,"13,890,828,708 "
Ecuador,1988,9739179,"13,051,886,552 "
Ecuador,1987,9504132,"13,945,431,882 "
Ecuador,1986,9272905,"15,314,143,988 "
Ecuador,1985,9045977,"17,149,094,590 "
Ecuador,1984,8823746,"16,912,515,183 "
Ecuador,1983,8606214,"17,152,483,214 "
Ecuador,1982,8392935,"19,929,853,575 "
Ecuador,1981,8183194,"21,810,767,209 "
Ecuador,1980,7976449,"17,881,514,683 "
Ecuador,1979,7772652,"14,175,166,008 "
Ecuador,1978,7571953,"11,922,502,171 "
Ecuador,1977,7374235,"11,026,346,590 "
Ecuador,1976,7179399,"9,091,924,305 "
Ecuador,1975,6987393,"7,731,677,257 "
Ecuador,1974,6798205,"6,599,259,421 "
Ecuador,1973,6611916,"3,891,755,552 "
Ecuador,1972,6428707,"3,185,987,235 "
Ecuador,1971,6248831,"2,754,220,263 "
Ecuador,1970,6072520,"2,862,504,170 "
Ecuador,1969,5899842,"3,112,166,848 "
Ecuador,1968,5730908,"2,582,180,794 "
Ecuador,1967,5566057,"2,553,596,092 "
Ecuador,1966,5405692,"2,429,309,514 "
Ecuador,1965,5250120,"2,387,048,255 "
Ecuador,1964,5099470,"1,156,150,890 "
Ecuador,1963,4953735,"1,038,389,642 "
Ecuador,1962,4812892,"958,598,195 "
Ecuador,1961,4676858,"979,108,807 "
Ecuador,1960,4545548,"1,010,325,138 "
"Egypt, Arab Rep.",2015,91508084,"330,778,550,717 "
"Egypt, Arab Rep.",2014,89579670,"301,498,960,052 "
"Egypt, Arab Rep.",2013,87613909,"286,011,230,726 "
"Egypt, Arab Rep.",2012,85660902,"276,353,323,880 "
"Egypt, Arab Rep.",2011,83787634,"236,001,858,960 "
"Egypt, Arab Rep.",2010,82040994,"218,888,324,505 "
"Egypt, Arab Rep.",2009,80442443,"188,982,374,701 "
"Egypt, Arab Rep.",2008,78976122,"162,818,181,818 "
"Egypt, Arab Rep.",2007,77605327,"130,478,960,092 "
"Egypt, Arab Rep.",2006,76274285,"107,484,034,871 "
"Egypt, Arab Rep.",2005,74942115,"89,685,725,230 "
"Egypt, Arab Rep.",2004,73596068,"78,845,185,293 "
"Egypt, Arab Rep.",2003,72247626,"82,924,503,943 "
"Egypt, Arab Rep.",2002,70908710,"87,850,683,979 "
"Egypt, Arab Rep.",2001,69599945,"97,632,008,710 "
"Egypt, Arab Rep.",2000,68334905,"99,838,543,960 "
"Egypt, Arab Rep.",1999,67112877,"90,710,704,807 "
"Egypt, Arab Rep.",1998,65922626,"84,828,807,556 "
"Egypt, Arab Rep.",1997,64754566,"78,436,578,171 "
"Egypt, Arab Rep.",1996,63595629,"67,629,716,981 "
"Egypt, Arab Rep.",1995,62434527,"60,159,245,060 "
"Egypt, Arab Rep.",1994,61272847,"51,897,983,393 "
"Egypt, Arab Rep.",1993,60108373,"46,578,631,453 "
"Egypt, Arab Rep.",1992,58922018,"41,855,986,519 "
"Egypt, Arab Rep.",1991,57689828,"36,970,555,899 "
"Egypt, Arab Rep.",1990,56397273,"43,130,416,913 "
"Egypt, Arab Rep.",1989,55035937,"39,648,442,534 "
"Egypt, Arab Rep.",1988,53617678,"35,044,634,015 "
"Egypt, Arab Rep.",1987,52173840,"40,507,934,171 "
"Egypt, Arab Rep.",1986,50748187,"35,880,262,675 "
"Egypt, Arab Rep.",1985,49373806,"34,689,560,465 "
"Egypt, Arab Rep.",1984,48061546,"30,642,873,038 "
"Egypt, Arab Rep.",1983,46807221,"28,137,369,499 "
"Egypt, Arab Rep.",1982,45610430,"25,592,365,394 "
"Egypt, Arab Rep.",1981,44465918,"23,405,404,730 "
"Egypt, Arab Rep.",1980,43369552,"22,912,500,556 "
"Egypt, Arab Rep.",1979,42321740,"18,150,000,571 "
"Egypt, Arab Rep.",1978,41324806,"14,849,909,491 "
"Egypt, Arab Rep.",1977,40377668,"14,636,028,767 "
"Egypt, Arab Rep.",1976,39478585,"13,360,476,862 "
"Egypt, Arab Rep.",1975,38624410,"11,437,965,585 "
"Egypt, Arab Rep.",1974,37815578,"9,015,166,840 "
"Egypt, Arab Rep.",1973,37046807,"9,616,725,366 "
"Egypt, Arab Rep.",1972,36302154,"8,763,960,703 "
"Egypt, Arab Rep.",1971,35561087,"8,266,003,571 "
"Egypt, Arab Rep.",1970,34808599,"7,682,491,836 "
"Egypt, Arab Rep.",1969,34038147,"6,861,743,341 "
"Egypt, Arab Rep.",1968,33252275,"6,109,112,150 "
"Egypt, Arab Rep.",1967,32456565,"5,579,168,510 "
"Egypt, Arab Rep.",1966,31660914,"5,339,520,613 "
"Egypt, Arab Rep.",1965,30872982,"5,111,621,014 "
El Salvador,2015,6126583,"25,850,200,000 "
El Salvador,2014,6107706,"25,054,200,000 "
El Salvador,2013,6089644,"24,350,900,000 "
El Salvador,2012,6072233,"23,813,600,000 "
El Salvador,2011,6055208,"23,139,000,000 "
El Salvador,2010,6038306,"21,418,300,000 "
El Salvador,2009,6021368,"20,661,000,000 "
El Salvador,2008,6004199,"21,431,000,000 "
El Salvador,2007,5986414,"20,104,900,000 "
El Salvador,2006,5967556,"18,550,700,000 "
El Salvador,2005,5947206,"17,093,800,000 "
El Salvador,2004,5925089,"15,798,300,000 "
El Salvador,2003,5900929,"15,046,700,000 "
El Salvador,2002,5874301,"14,306,700,000 "
El Salvador,2001,5844738,"13,812,700,000 "
El Salvador,2000,5811836,"13,134,100,000 "
El Salvador,1999,5775660,"12,464,700,000 "
El Salvador,1998,5736075,"12,008,400,000 "
El Salvador,1997,5692300,"11,134,700,000 "
El Salvador,1996,5643363,"10,315,500,000 "
El Salvador,1995,5588743,"9,500,500,000 "
El Salvador,1994,5528012,"8,085,600,000 "
El Salvador,1993,5461834,"6,938,000,000 "
El Salvador,1992,5392142,"5,954,700,000 "
El Salvador,1991,5321576,"5,311,000,000 "
El Salvador,1990,5252082,"4,800,900,000 "
El Salvador,1989,5184221,"4,372,215,300 "
El Salvador,1988,5117577,"4,189,880,000 "
El Salvador,1987,5051885,"3,958,045,800 "
El Salvador,1986,4986528,"3,771,663,200 "
El Salvador,1985,4920932,"3,800,368,600 "
El Salvador,1984,4855280,"3,661,683,400 "
El Salvador,1983,4789472,"3,506,347,800 "
El Salvador,1982,4722272,"3,399,189,100 "
El Salvador,1981,4652058,"3,437,200,200 "
El Salvador,1980,4577683,"3,573,959,900 "
El Salvador,1979,4498757,"3,463,639,900 "
El Salvador,1978,4415625,"3,127,960,000 "
El Salvador,1977,4328817,"2,941,640,100 "
El Salvador,1976,4239205,"2,328,280,100 "
El Salvador,1975,4147525,"1,884,120,100 "
El Salvador,1974,4053958,"1,665,880,000 "
El Salvador,1973,3958616,"1,442,320,000 "
El Salvador,1972,3862132,"1,263,720,000 "
El Salvador,1971,3765252,"1,186,120,000 "
El Salvador,1970,3668592,"1,132,920,000 "
El Salvador,1969,3572667,"1,049,400,000 "
El Salvador,1968,3477702,"1,009,760,100 "
El Salvador,1967,3383674,"976,200,000 "
El Salvador,1966,3290397,"929,520,000 "
El Salvador,1965,3197865,"877,720,000 "
Equatorial Guinea,2015,845060,"9,397,792,253 "
Equatorial Guinea,2014,820885,"15,529,729,677 "
Equatorial Guinea,2013,797082,"17,135,584,685 "
Equatorial Guinea,2012,773729,"18,011,041,667 "
Equatorial Guinea,2011,750918,"17,229,758,160 "
Equatorial Guinea,2010,728710,"12,709,498,548 "
Equatorial Guinea,2009,707155,"10,219,467,607 "
Equatorial Guinea,2008,686223,"16,021,701,872 "
Equatorial Guinea,2007,665798,"10,776,721,748 "
Equatorial Guinea,2006,645718,"9,144,693,758 "
Equatorial Guinea,2005,625866,"8,217,369,093 "
Equatorial Guinea,2004,606201,"4,410,764,339 "
Equatorial Guinea,2003,586772,"2,484,745,935 "
Equatorial Guinea,2002,567664,"1,806,742,742 "
Equatorial Guinea,2001,549007,"1,461,139,022 "
Equatorial Guinea,2000,530896,"1,045,998,496 "
Equatorial Guinea,1999,513347,"621,117,886 "
Equatorial Guinea,1998,496330,"370,687,619 "
Equatorial Guinea,1997,479836,"442,337,849 "
Equatorial Guinea,1996,463844,"232,463,036 "
Equatorial Guinea,1995,448332,"141,853,368 "
Equatorial Guinea,1994,433197,"100,807,002 "
Equatorial Guinea,1993,418409,"136,047,896 "
Equatorial Guinea,1992,404081,"134,707,184 "
Equatorial Guinea,1991,390381,"110,906,032 "
Equatorial Guinea,1990,377363,"112,119,407 "
Equatorial Guinea,1989,365451,"88,265,975 "
Equatorial Guinea,1988,354488,"100,534,663 "
Equatorial Guinea,1987,343290,"93,345,848 "
Equatorial Guinea,1986,330247,"76,407,397 "
Equatorial Guinea,1985,314407,"62,118,565 "
Equatorial Guinea,1984,295090,"50,320,914 "
Equatorial Guinea,1983,273199,"44,442,457 "
Equatorial Guinea,1982,251301,"44,294,648 "
Equatorial Guinea,1981,232934,"36,731,423 "
Equatorial Guinea,1980,220605,"50,642,881 "
Equatorial Guinea,1977,220352,"103,987,520 "
Equatorial Guinea,1976,228491,"103,653,050 "
Equatorial Guinea,1975,238240,"104,295,643 "
Equatorial Guinea,1974,249587,"94,159,863 "
Equatorial Guinea,1973,262399,"81,203,227 "
Equatorial Guinea,1972,274906,"65,429,198 "
Equatorial Guinea,1971,284915,"64,946,955 "
Equatorial Guinea,1970,290905,"66,331,429 "
Equatorial Guinea,1969,292014,"67,225,714 "
Equatorial Guinea,1968,288701,"67,514,286 "
Equatorial Guinea,1967,282445,"72,317,447 "
Equatorial Guinea,1966,275470,"69,110,000 "
Equatorial Guinea,1965,269427,"64,748,333 "
Equatorial Guinea,1964,264743,"12,712,471 "
Equatorial Guinea,1963,260990,"10,840,095 "
Equatorial Guinea,1962,257940,"9,122,751 "
Eritrea,2011,4789568,"2,607,739,837 "
Eritrea,2010,4689664,"2,117,039,512 "
Eritrea,2009,4593549,"1,856,695,551 "
Eritrea,2008,4500638,"1,380,188,800 "
Eritrea,2007,4406299,"1,317,974,491 "
Eritrea,2006,4304440,"1,211,161,880 "
Eritrea,2005,4191273,"1,098,425,901 "
Eritrea,2004,4064958,"1,109,054,005 "
Eritrea,2003,3928408,"870,247,703 "
Eritrea,2002,3788532,"729,321,367 "
Eritrea,2001,3655006,"752,368,496 "
Eritrea,2000,3535156,"706,370,816 "
Eritrea,1999,3429656,"688,921,326 "
Eritrea,1998,3337227,"745,526,155 "
Eritrea,1997,3260612,"686,490,090 "
Eritrea,1996,3202598,"693,535,954 "
Eritrea,1995,3164095,"578,015,625 "
Eritrea,1994,3147871,"531,688,312 "
Eritrea,1993,3150811,"467,872,715 "
Eritrea,1992,3160617,"477,101,652 "
Estonia,2015,1311998,"22,691,482,755 "
Estonia,2014,1314545,"26,485,161,116 "
Estonia,2013,1317997,"25,246,787,742 "
Estonia,2012,1322696,"23,135,266,649 "
Estonia,2011,1327439,"23,168,793,439 "
Estonia,2010,1331475,"19,494,662,252 "
Estonia,2009,1334515,"19,652,486,802 "
Estonia,2008,1337090,"24,194,038,377 "
Estonia,2007,1340680,"22,237,065,426 "
Estonia,2006,1346810,"16,963,630,661 "
Estonia,2005,1354775,"14,006,093,769 "
Estonia,2004,1362550,"12,059,204,969 "
Estonia,2003,1370720,"9,833,875,339 "
Estonia,2002,1379350,"7,322,068,381 "
Estonia,2001,1388115,"6,245,072,062 "
Estonia,2000,1396985,"5,685,773,519 "
Estonia,1999,1380620,"5,726,895,230 "
Estonia,1998,1386156,"5,617,109,801 "
Estonia,1997,1399535,"5,066,242,110 "
Estonia,1996,1415594,"4,746,104,825 "
Estonia,1995,1436634,"4,373,658,537 "
Ethiopia,2015,99390750,"61,537,143,095 "
Ethiopia,2014,96958732,"55,612,228,234 "
Ethiopia,2013,94558374,"47,648,211,133 "
Ethiopia,2012,92191211,"43,310,721,414 "
Ethiopia,2011,89858696,"31,952,763,089 "
Ethiopia,2010,87561814,"29,933,790,334 "
Ethiopia,2009,85302099,"32,437,389,116 "
Ethiopia,2008,83079608,"27,066,912,635 "
Ethiopia,2007,80891968,"19,707,616,773 "
Ethiopia,2006,78735675,"15,280,861,835 "
Ethiopia,2005,76608431,"12,401,139,454 "
Ethiopia,2004,74506974,"10,131,187,261 "
Ethiopia,2003,72432290,"8,623,691,300 "
Ethiopia,2002,70391170,"7,850,809,498 "
Ethiopia,2001,68393128,"8,231,326,016 "
Ethiopia,2000,66443603,"8,242,392,104 "
Ethiopia,1999,64550161,"7,700,833,482 "
Ethiopia,1998,62707547,"7,818,224,906 "
Ethiopia,1997,60893264,"8,589,211,390 "
Ethiopia,1996,59076414,"8,547,939,731 "
Ethiopia,1995,57237226,"7,663,984,568 "
Ethiopia,1994,55366517,"6,927,950,565 "
Ethiopia,1993,53477944,"8,830,712,714 "
Ethiopia,1992,51602776,"10,492,993,078 "
Ethiopia,1991,49784987,"13,463,868,357 "
Ethiopia,1990,48057094,"12,175,166,763 "
Ethiopia,1989,46433604,"11,476,584,879 "
Ethiopia,1988,44908705,"10,908,935,749 "
Ethiopia,1987,43470219,"10,527,338,647 "
Ethiopia,1986,42097111,"9,848,600,870 "
Ethiopia,1985,40775997,"9,480,840,483 "
Ethiopia,1984,39493503,"8,096,302,369 "
Ethiopia,1983,38259376,"8,567,890,825 "
Ethiopia,1982,37109517,"7,707,678,023 "
Ethiopia,1981,36093319,"7,324,903,192 "
Faroe Islands,2013,48292,"2,613,458,942 "
Faroe Islands,2012,48393,"2,356,505,419 "
Faroe Islands,2011,48492,"2,468,748,768 "
Faroe Islands,2010,48567,"2,301,178,416 "
Faroe Islands,2009,48613,"2,257,097,732 "
Faroe Islands,2008,48629,"2,413,237,402 "
Faroe Islands,2007,48599,"2,278,229,533 "
Faroe Islands,2006,48505,"1,970,142,378 "
Faroe Islands,2005,48337,"1,730,891,409 "
Faroe Islands,2004,48103,"1,683,997,930 "
Faroe Islands,2003,47812,"1,486,861,879 "
Faroe Islands,2002,47452,"1,268,445,919 "
Faroe Islands,2001,47012,"1,154,899,793 "
Faroe Islands,2000,46491,"1,062,339,944 "
Faroe Islands,1999,45852,"1,125,684,470 "
Faroe Islands,1998,45126,"1,105,688,873 "
Fiji,2015,892145,"4,386,008,745 "
Fiji,2014,886450,"4,531,870,927 "
Fiji,2013,880487,"4,196,263,712 "
Fiji,2012,874158,"3,977,652,383 "
Fiji,2011,867327,"3,774,537,140 "
Fiji,2010,859952,"3,140,508,836 "
Fiji,2009,851854,"2,870,624,636 "
Fiji,2008,843206,"3,523,185,920 "
Fiji,2007,834729,"3,405,050,612 "
Fiji,2006,827390,"3,102,741,451 "
Fiji,2005,821820,"3,006,725,015 "
Fiji,2004,818355,"2,727,507,213 "
Fiji,2003,816626,"2,315,935,753 "
Fiji,2002,815691,"1,842,691,481 "
Fiji,2001,814215,"1,660,102,346 "
Fiji,2000,811223,"1,684,109,743 "
Fiji,1999,806494,"1,942,170,999 "
Fiji,1998,800314,"1,656,784,780 "
Fiji,1997,792859,"2,093,994,597 "
Fiji,1996,784479,"2,129,266,728 "
Fiji,1995,775498,"1,970,347,721 "
Fiji,1994,765666,"1,825,285,158 "
Fiji,1993,755024,"1,635,426,125 "
Fiji,1992,744534,"1,531,803,061 "
Fiji,1991,735469,"1,383,843,860 "
Fiji,1990,728626,"1,337,024,782 "
Fiji,1989,724624,"1,182,686,577 "
Fiji,1988,722918,"1,109,976,928 "
Fiji,1987,721725,"1,177,908,192 "
Fiji,1986,718548,"1,290,228,617 "
Fiji,1985,711663,"1,141,210,125 "
Fiji,1984,700366,"1,177,997,414 "
Fiji,1983,685389,"1,123,107,276 "
Fiji,1982,668196,"1,194,015,444 "
Fiji,1981,650957,"1,235,899,836 "
Fiji,1980,635256,"1,202,567,359 "
Fiji,1979,621541,"1,019,743,927 "
Fiji,1978,609348,"829,239,490 "
Fiji,1977,598258,"719,533,137 "
Fiji,1976,587523,"694,552,412 "
Fiji,1975,576592,"684,268,281 "
Fiji,1974,565386,"558,589,871 "
Fiji,1973,554109,"425,963,359 "
Fiji,1972,542811,"316,650,509 "
Fiji,1971,531601,"247,749,328 "
Fiji,1970,520529,"219,878,482 "
Fiji,1969,509659,"182,182,068 "
Fiji,1968,498887,"166,952,937 "
Fiji,1967,487911,"162,625,886 "
Fiji,1966,476329,"150,603,926 "
Fiji,1965,463884,"147,084,750 "
Fiji,1964,450452,"140,040,154 "
Fiji,1963,436208,"129,461,582 "
Fiji,1962,421576,"122,912,941 "
Fiji,1961,407152,"116,993,978 "
Fiji,1960,393383,"112,334,368 "
Finland,2015,5482013,"229,810,358,212 "
Finland,2014,5461512,"272,335,981,539 "
Finland,2013,5438972,"269,980,111,643 "
Finland,2012,5413971,"256,706,466,091 "
Finland,2011,5388272,"273,657,214,345 "
Finland,2010,5363352,"247,814,569,536 "
Finland,2009,5338871,"251,499,027,508 "
Finland,2008,5313399,"283,742,493,042 "
Finland,2007,5288720,"255,384,615,385 "
Finland,2006,5266268,"216,552,502,823 "
Finland,2005,5246096,"204,436,015,421 "
Finland,2004,5228172,"196,768,065,557 "
Finland,2003,5213014,"171,071,106,095 "
Finland,2002,5200598,"139,552,983,249 "
Finland,2001,5188008,"129,250,111,857 "
Finland,2000,5176209,"125,539,893,127 "
Finland,1999,5165474,"135,225,868,315 "
Finland,1998,5153498,"133,936,359,591 "
Finland,1997,5139835,"126,833,123,354 "
Finland,1996,5124573,"132,099,404,608 "
Finland,1995,5107790,"134,199,346,405 "
Finland,1994,5088333,"103,321,570,859 "
Finland,1993,5066447,"89,255,751,015 "
Finland,1992,5041992,"112,625,431,378 "
Finland,1991,5013740,"127,866,490,222 "
Finland,1990,4986431,"141,517,648,888 "
Finland,1989,4964371,"119,064,708,328 "
Finland,1988,4946481,"109,103,056,148 "
Finland,1987,4932123,"91,642,093,873 "
Finland,1986,4918154,"73,586,676,050 "
Finland,1985,4902206,"55,914,236,378 "
Finland,1984,4881803,"52,926,394,935 "
Finland,1983,4855787,"51,014,090,521 "
Finland,1982,4826933,"52,832,120,390 "
Finland,1981,4799964,"52,485,533,205 "
Finland,1980,4779535,"53,685,049,410 "
Finland,1979,4764690,"44,498,283,621 "
Finland,1978,4752528,"36,283,091,408 "
Finland,1977,4738902,"33,524,682,308 "
Finland,1976,4725664,"31,873,171,719 "
Finland,1975,4711440,"29,494,515,597 "
Finland,1974,4690574,"24,867,278,714 "
Finland,1973,4666081,"19,486,826,980 "
Finland,1972,4639657,"14,754,136,507 "
Finland,1971,4612124,"12,536,710,287 "
Finland,1970,4606307,"11,365,953,567 "
Finland,1969,4623785,"10,070,766,721 "
Finland,1968,4626469,"8,823,033,880 "
Finland,1967,4605744,"9,368,954,010 "
Finland,1966,4580869,"9,208,524,505 "
Finland,1965,4563732,"8,589,340,019 "
Finland,1964,4548543,"7,766,655,086 "
Finland,1963,4523309,"6,885,920,329 "
Finland,1962,4491443,"6,340,580,854 "
Finland,1961,4461005,"5,921,659,485 "
Finland,1960,4429634,"5,224,102,196 "
France,2015,66808385,"2,421,682,377,731 "
France,2014,66495940,"2,829,192,039,172 "
France,2013,65972097,"2,808,511,203,185 "
France,2012,65659790,"2,681,416,108,537 "
France,2011,65342776,"2,862,502,085,071 "
France,2010,65027512,"2,646,994,701,987 "
France,2009,64707044,"2,693,827,452,070 "
France,2008,64374990,"2,923,465,651,091 "
France,2007,64016229,"2,663,112,510,266 "
France,2006,63621376,"2,325,011,918,203 "
France,2005,63179356,"2,203,678,646,934 "
France,2004,62704897,"2,124,112,242,364 "
France,2003,62244884,"1,848,124,153,499 "
France,2002,61805267,"1,500,337,850,555 "
France,2001,61357431,"1,382,218,344,519 "
France,2000,60912498,"1,368,438,363,737 "
France,1999,60496715,"1,500,275,942,894 "
France,1998,60186291,"1,510,758,283,300 "
France,1997,59964845,"1,460,709,148,123 "
France,1996,59753098,"1,614,245,416,079 "
France,1995,59541900,"1,609,892,232,882 "
France,1994,59327194,"1,401,636,342,155 "
France,1993,59106766,"1,330,094,973,361 "
France,1992,58851216,"1,408,724,907,063 "
France,1991,58559312,"1,275,563,306,592 "
France,1990,58512808,"1,275,300,566,197 "
France,1989,58182702,"1,030,122,352,457 "
France,1988,57836486,"1,023,504,019,381 "
France,1987,57482591,"938,368,438,284 "
France,1986,57132691,"774,556,302,680 "
France,1985,56795686,"555,197,109,067 "
France,1984,56470769,"532,648,802,822 "
France,1983,56156284,"561,852,138,738 "
France,1982,55858727,"586,837,009,682 "
France,1981,55585824,"617,589,619,795 "
France,1980,55340782,"703,525,302,701 "
France,1979,55130594,"615,834,104,224 "
France,1978,54947975,"508,183,139,535 "
France,1977,54764462,"411,464,295,266 "
France,1976,54541493,"373,410,270,418 "
